Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres_01,Capacity_acrefeet_01,Area_acres_int,Capacity_acrefeet_int,Area_percent_dif,Capacity_percent_dif
3400.38,3397.47,24488.37,2315508.33,24488.17,2315512.09,0,0
3400.39,3397.48,24490.43,2315753.52,24490.21,2315757.01,0,0
3400.4,3397.49,24492.48,2315998.74,24492.25,2316001.93,0,0
3400.41,3397.5,24494.52,2316243.98,24494.29,2316246.84,0,0
3400.42,3397.51,24496.57,2316489.24,24496.33,2316491.76,0,0
3400.43,3397.52,24498.58,2316734.52,24498.36,2316736.68,0,0
3400.44,3397.53,24500.6,2316979.82,24500.4,2316981.6,0,0
3400.45,3397.54,24502.66,2317225.13,24502.44,2317226.52,0,0
3400.46,3397.55,24504.68,2317470.47,24504.48,2317471.44,0,0
3400.47,3397.56,24506.67,2317715.83,24506.52,2317716.36,0,0
3400.48,3397.57,24508.69,2317961.21,24508.56,2317961.28,0,0
3400.49,3397.58,24510.66,2318206.61,24510.6,2318206.2,0,0
3400.5,3397.59,24512.67,2318452.03,24512.63,2318451.11,0,0
3400.51,3397.6,24514.72,2318697.47,24514.67,2318696.03,0,0
3400.52,3397.61,24516.71,2318942.94,24516.71,2318940.95,0,0
3400.53,3397.62,24518.7,2319188.42,24518.75,2319185.87,0,0
3400.54,3397.63,24520.73,2319433.92,24520.79,2319430.79,0,0
3400.55,3397.64,24522.77,2319679.44,24522.83,2319675.71,0,0
3400.56,3397.65,24524.8,2319924.98,24524.87,2319920.63,0,0
3400.57,3397.66,24526.87,2320170.54,24526.9,2320165.55,0,0
3400.58,3397.67,24528.95,2320416.12,24528.94,2320410.47,0,0
3400.59,3397.68,24531.03,2320661.73,24530.98,2320655.34,0,0
3400.6,3397.69,24533.09,2320907.35,24533.03,2320900.93,0,0
3400.61,3397.7,24535.13,2321152.99,24535.08,2321146.52,0,0
3400.62,3397.71,24537.21,2321398.66,24537.13,2321392.11,0,0
3400.63,3397.72,24539.29,2321644.35,24539.17,2321637.7,0,0
3400.64,3397.73,24541.29,2321880.22,24541.22,2321883.29,0,0
3400.65,3397.74,24543.39,2322125.95,24543.27,2322128.88,0,0
3400.66,3397.75,24545.48,2322371.7,24545.32,2322374.47,0,0
3400.67,3397.76,24547.6,2322617.47,24547.37,2322620.06,0,0
3400.68,3397.77,24549.67,2322863.26,24549.42,2322865.65,0,0
3400.69,3397.78,24551.74,2323109.07,24551.46,2323111.24,0,0
3400.7,3397.79,24553.8,2323354.9,24553.51,2323356.83,0,0
3400.71,3397.8,24555.86,2323600.75,24555.56,2323602.42,0,0
3400.72,3397.81,24557.91,2323846.62,24557.61,2323848.01,0,0
3400.73,3397.82,24559.97,2324092.52,24559.66,2324093.6,0,0
3400.74,3397.83,24562.02,2324338.43,24561.7,2324339.19,0,0
3400.75,3397.84,24564.07,2324584.37,24563.75,2324584.77,0,0
3400.76,3397.85,24566.13,2324830.32,24565.8,2324830.36,0,0
3400.77,3397.86,24568.18,2325076.3,24567.85,2325075.95,0,0
3400.78,3397.87,24570.17,2325322.29,24569.9,2325321.54,0,0
3400.79,3397.88,24572.18,2325568.31,24571.95,2325567.13,0,0
3400.8,3397.89,24574.2,2325814.34,24573.99,2325812.72,0,0
3400.81,3397.9,24576.24,2326060.4,24576.04,2326058.31,0,0
3400.82,3397.91,24578.26,2326306.48,24578.09,2326303.9,0,0
3400.83,3397.92,24580.27,2326552.57,24580.14,2326549.49,0,0
3400.84,3397.93,24582.29,2326798.69,24582.19,2326795.08,0,0
3400.85,3397.94,24584.31,2327044.83,24584.23,2327040.67,0,0
3400.86,3397.95,24586.28,2327290.98,24586.28,2327286.26,0,0
3400.87,3397.96,24588.32,2327537.16,24588.33,2327531.85,0,0
3400.88,3397.97,24590.38,2327783.36,24590.38,2327777.44,0,0
3400.89,3397.98,24592.46,2328029.58,24592.43,2328023.03,0,0
3400.9,3397.99,24594.55,2328275.82,24594.48,2328268.62,0,0
3400.91,3398,24596.6,2328522.08,24596.52,2328514.21,0,0
3400.92,3398.01,24598.65,2328768.36,24598.57,2328759.88,0,0
3400.93,3398.02,24600.69,2329014.66,24600.62,2329006.14,0,0
3400.94,3398.03,24602.71,2329260.98,24602.68,2329252.4,0,0
3400.95,3398.04,24604.81,2329507.32,24604.73,2329498.65,0,0
3400.96,3398.05,24606.78,2329743.83,24606.78,2329744.91,0,0
3400.97,3398.06,24608.83,2329990.21,24608.83,2329991.17,0,0
3400.98,3398.07,24610.86,2330236.62,24610.88,2330237.43,0,0
3400.99,3398.08,24612.94,2330483.04,24612.94,2330483.69,0,0
